sentence,breakdown,feedback,new_vehicle_purchase_enquiry,test_drive_request,vehicle_quality,Label
"sir how well is your car working after the yearly service, any new issues ?",0,1,0,0,0,2
"My clutch plate has worn out, which is causing the car to stop",1,0,0,0,0,1
"The exhaust pipe is clogged, which is heating up the engine",1,0,0,0,0,1
My key module is blocked and I cannot start the car,1,0,0,0,0,1
There is an affiliated centre 2 kms from your location,1,0,0,0,0,1
Please stop the car on the side and wait for roadside assistance,1,0,0,0,0,1
Please fill some water in the engine water tank,1,0,0,0,0,1
Place a small stopper such as a stone to prevent the car from moving ,1,0,0,0,0,1
Make sure the warning sign has been placed at a sufficient distance from the car to warn incoming traffic,1,0,0,0,0,1
Switch off the air conditioning of the car and open the windows,1,0,0,0,0,1
"To remove water from the exhaust pipe, stop the car and press the accelerator a few times to let out some fumes",1,0,0,0,0,1
Can I know when will the bookings for the car start again?,0,0,1,0,0,3
The on road price of the car will be around 10.5 lakhs,0,0,1,0,0,3
What all fuel variants are available in the car?,0,0,1,0,0,3
Is the automatic variant AMT or CVT,0,0,1,0,0,3
The gearbox is a 6-speed manual transmission,0,0,1,0,0,3
The car has an in-city mileage of 16 kmpl,0,0,1,0,0,3
All variants of the car come with ABS and EBD features,0,0,1,0,0,3
What all colours are available for the car?,0,0,1,0,0,3
What all banks support financing for the car,0,0,1,0,0,3
What will be the down payment for the car,0,0,1,0,0,3
The tyre treads are wearing out at a fast rate,0,0,0,0,1,5
Please replace the engine oil of the car regularly,0,0,0,0,1,5
The steering wheel cover does not have a proper grip,0,0,0,0,1,5
Air conditioning of the car is very poor,0,0,0,0,1,5
The mileage of the car is very bad,0,0,0,0,1,5
Please adjust the suspension height of the car ,0,0,0,0,1,5
The car should be serviced every 6 months,0,0,0,0,1,5
The media system of the car is faulty,0,0,0,0,1,5
"My rear view mirror is broken, please get me a replacement",0,0,0,0,1,5
My engine is heating up a lot,0,0,0,0,1,5
I want to test drive the automatic version of Kia Seltos,0,0,0,1,0,4
The car will be available only after tomorrow evening,0,0,0,1,0,4
I'm sorry to inform you but your test drive will have to be postponed to a later date.,0,0,0,1,0,4
Will the automatic variant be available for a test drive,0,0,0,1,0,4
The attendant was not explaining the features well enough,0,0,0,1,0,4
The test drive car was not in good condition,0,0,0,1,0,4
The car dealership was not informed of my test drive,0,0,0,1,0,4
What all documents are required to book a test drive,0,0,0,1,0,4
Can multiple people test drive the car in one booking,0,0,0,1,0,4
I won't be able to make it for my test drive,0,0,0,1,0,4
The customer service executive was not helpful,0,1,0,0,0,2
I had a poor customer experience at the car dealership,0,1,0,0,0,2
There is a big difference in price at your nearby outlets,0,1,0,0,0,2
A couple of features which I had asked for were missing from my car,0,1,0,0,0,2
Can you please give a us a feedback on your purchasing experience,0,1,0,0,0,2
How satisfied are you with the car,0,1,0,0,0,2
Can I please get the number of the branch manager,0,1,0,0,0,2
I am very disappointed by the level of service of your staff,0,1,0,0,0,2
The car servicing was not up to mark,0,1,0,0,0,2
How would you rate your experience,0,1,0,0,0,2
I keep getting the check engine light and red warning light,1,0,0,0,0,1
I need a tow truck,1,0,0,0,0,1
I got into an accident and the front of my car is smashed,1,0,0,0,0,1
"Nobody has come yet, how much more do I have to wait",1,0,0,0,0,1
My car tyre is punctured what should I do,1,0,0,0,0,1
My car battery is dead,1,0,0,0,0,1
"My steering wheel is jammed, please help",1,0,0,0,0,1
I am on my way to Pune and got locked outside my car,1,0,0,0,0,1
Sir your car need to be taken to the garage and cannot be repaired on site due to lack of required equipment,1,0,0,0,0,1
"I want to avail the on road service, can you please help me out",1,0,0,0,0,1
Colud you tell me about the other color varients available in the same model,0,0,1,0,0,3
What does the warranty cover?,0,0,1,0,0,3
Can you hold the vehicle till I make a decision?,0,0,1,0,0,3
What other amenities come with the car?,0,0,1,0,0,3
Would you like to look at other cars with similar design and price range,0,0,1,0,0,3
What is the best price you can offer if I exchange my old car,0,0,1,0,0,3
What is its fuel tank capacity?,0,0,1,0,0,3
What is the engine horsepower?,0,0,1,0,0,3
Is it geared or gearless?,0,0,1,0,0,3
What are its safety features?,0,0,1,0,0,3
I can hear a rattling sound,0,0,0,0,1,5
Shifting gears requires lot of strength,0,0,0,0,1,5
The AC does not provide sufficient cooling,0,0,0,0,1,5
Using AC is consuming lot of fuel therefore reduced mileage,0,0,0,0,1,5
The tail lights are not bright enough,0,0,0,0,1,5
Squeak type noise from the front glass,0,0,0,0,1,5
My car windows are not closing completely,0,0,0,0,1,5
The part will be replaced when you bring the car for servicing,0,0,0,0,1,5
Legroom is very less for passengers in the back,0,0,0,0,1,5
Mileage has reduced significantly,0,0,0,0,1,5
This is to confirm that your test drive for TATA Tiago has been scheuled for Friday 2pm,0,0,0,1,0,4
Which is the nearest showroom where Indigo xl is available for test drive,0,0,0,1,0,4
Do I need to carry any documents for my test drive,0,0,0,1,0,4
It is mandatory to carry you drivers lisence for the test drive,0,0,0,1,0,4
Can you please reschedule my test drive of Tata Tiago to Monday,0,0,0,1,0,4
what time would you like to schedule your test drive for?,0,0,0,1,0,4
We are sorry to inform you that the model you are looking for is currently unavailable for test drive,0,0,0,1,0,4
I would like to postpone my test drive appointment,0,0,0,1,0,4
Do I have to pay anything for a test drive?,0,0,0,1,0,4
What time can I come for the test drive?,0,0,0,1,0,4
Replacement parts take too long to arrive,0,1,0,0,0,2
Car is not returned on time after servicing,0,1,0,0,0,2
Poor customer care service,0,1,0,0,0,2
We are sorry for your inconvinience,0,1,0,0,0,2
The mechanic was very prompt and helpful,0,1,0,0,0,2
I have registered your complaint and someone will get back to you shortly,0,1,0,0,0,2
Grievance for price variation by the dealer,0,1,0,0,0,2
Kindly share the car variant you own and your contact number so that we can take your concern forward with the relevant team.,0,1,0,0,0,2
I have been waiting for the past 20 minutes,0,1,0,0,0,2
I am dissapointed with the service,0,1,0,0,0,2
"The engine oil indicator won't stop blinking
",1,0,0,0,0,1
My dashboard light's are off.,1,0,0,0,0,1
I'm stuck in the parking lot since the steering wheel is locked.,1,0,0,0,0,1
The ignition key cannot start the car.,1,0,0,0,0,1
"I locked myself out of the car, can you please help me.",1,0,0,0,0,1
I'm in a remote area and my tire is flat. Can you help me out as soon as possible.,1,0,0,0,0,1
My car won't start and I think my engine isn't starting. I've been put on hold for the past 5 minutes.,1,0,0,0,0,1
I need help immediately. I drove my car off the road and now it's stuck in a ditch.,1,0,0,0,0,1
"Smoke is coming out of the bonnet
",1,0,0,0,0,1
I'm on the highway and I've run out og gas.,1,0,0,0,0,1
Can you tell me what other colours are available for this model,0,0,1,0,0,3
What is the on the road price of the vehicle?,0,0,1,0,0,3
Are there any discounts availaible for this model ,0,0,1,0,0,3
"I work for xyz company, do you have any discounts for my this company?",0,0,1,0,0,3
"What is the average petrol consumption of the car?
",0,0,1,0,0,3
Can I get extended warranty for the car?,0,0,1,0,0,3
Do you deal with out of state buyers?,0,0,1,0,0,3
Do you have an in-built child seat in the car?,0,0,1,0,0,3
"I'm looking for an electric car. Can you help me out?
",0,0,1,0,0,3
My airbag indicator is not working ,0,0,0,0,1,5
My left and right signals aren't working .,0,0,0,0,1,5
The AC doesn't seem to be working.,0,0,0,0,1,5
Excessive heating is occuring in the car ,0,0,0,0,1,5
The windshield is getting fogged up too frequently.,0,0,0,0,1,5
My wipers are getting stuck,0,0,0,0,1,5
My car remote isn't working even from a close distance,0,0,0,0,1,5
My tail lights are constantly on.,0,0,0,0,1,5
I'm planning on a long trip but my battery keeps getting drained if not in constant use.,0,0,0,0,1,5
My car is making a noise after the speed crosses 40km/ph,0,0,0,0,1,5
What time can I come for the test drive?,0,0,0,1,0,4
Is there a nearby safe road for a test drive?,0,0,0,1,0,4
Is there a speed limit during a test drive?,0,0,0,1,0,4
"No, thereare no artificial conditions created to test the ABS",0,0,0,1,0,4
Test drives availaible in all stores?,0,0,0,1,0,4
Can I get a test drive for a Toyota?,0,0,0,1,0,4
Are manouvering tests?,0,0,0,1,0,4
Will someone be assisting me for the test drive?,0,0,0,1,0,4
Are test drives for all the cars free?,0,0,0,1,0,4
Can I test all the features during the test drive?,0,0,0,1,0,4
You are being very rude sir.,0,1,0,0,0,2
Thank you so much for your help.,0,1,0,0,0,2
I've been stuck in my parking lot for the past hour and you have been of no help.,0,1,0,0,0,2
It took you more than 20 minutes to respond! ,0,1,0,0,0,2
Can I give the feedback online instead of over the phone?,0,1,0,0,0,2
I think you should have a seperate customer grievance cell,0,1,0,0,0,2
"I will get back to you as soon as I speak to the branch manager.
",0,1,0,0,0,2
"I wasn't informed after my car was ready after servicing
",0,1,0,0,0,2
"Where can I give a dealership facility feedback?
",0,1,0,0,0,2
Can you provide us with a feedback for the waiting area.,0,1,0,0,0,2
My car battery is very low and so it stopped in the middle of the highway.,1,0,0,0,0,1
I can see smoke coming out of the engine so I stopped my vehicle.,1,0,0,0,0,1
The brakes have become loose so the car takes time to come to a halt.,1,0,0,0,0,1
My brand new tires got punctured due to broken glass pieces on the road.,1,0,0,0,0,1
Transmission controlbox is jammed. I can't change gears.,1,0,0,0,0,1
I ran out of fuel in the middle of the road and even the reserve is empty.,1,0,0,0,0,1
I has a tire burst and almost rammed into a truck.,1,0,0,0,0,1
My fuel tank is leaking fuel so I keep running out of fuel.,1,0,0,0,0,1
The engine keeps cutting off and doesn't start due to the cold weather.,1,0,0,0,0,1
The radiator water is boiling making my engine too hot causing engine cut-off.,1,0,0,0,0,1
Hello! I would like the pricing information for the new Tata Tigor.,0,0,1,0,0,3
What is the wait list period for purchasing Inidgo?,0,0,1,0,0,3
What is the on-road price for Tata Aria?,0,0,1,0,0,3
I need to know the maximum seating capacity of Tata Winger,0,0,1,0,0,3
Are there any festive offers going on for purchasing a new vehicle?,0,0,1,0,0,3
Is it possible to get some discount on a new vehicle if I exchange it for my old vehicle?,0,0,1,0,0,3
What is the price difference between the petrol and Diesel version?,0,0,1,0,0,3
Does this car have a CNG version?,0,0,1,0,0,3
I need the color and interior options for my new vehicle.,0,0,1,0,0,3
Does this car have an electric variant?,0,0,1,0,0,3
What is the mileage of this vehicle?,0,0,1,0,1,4
Can this mini truck be used for towing vehicles?,0,0,1,0,1,4
Does this car come with Air Bags included?,0,0,1,0,1,4
What are the safety features of this car?,0,0,1,0,1,4
I need the variant which includes a sun roof.,0,0,1,0,1,4
What benefits are included with this vehicle?,0,0,1,0,1,4
Can this mini van fit 12 people?,0,0,1,0,1,4
I need the best interiors possible for my vehicle.,0,0,1,0,1,4
How were the crash test results for the vehicle?,0,0,1,0,1,4
What are the pollution check results for this vehicle?,0,0,1,0,1,4
I would like to test drive the new electric vehicle.,0,0,0,1,0,4
Is it possible to schedule a test drive for the new variant?,0,0,0,1,0,4
I was supposed to have a test drive today which was cancelled. Can it be rescheduled?,0,0,0,1,0,4
I would like to test the new mini truck to see if it meets my requirements.,0,0,0,1,0,4
I would like to request a test drive for the new SUV.,0,0,0,1,0,4
The test drive wasn't a successful one because the vehicle ran out of fuel. Can I try again?,0,0,0,1,0,4
Which vehicle would you suggest me to test drive in the sedan category?,0,0,0,1,0,4
Are trucks available for a test drive?,0,0,0,1,0,4
What's the test drive wait list for this vehicle?,0,0,0,1,0,4
Is it possible to reschedule my test drive appointment for today?,0,0,0,1,0,4
I would like to take your feedback regarding the test drive of the new vehicle.,0,1,0,0,0,2
I would like to report the behavior of the mechanic who was sent to report the car.,0,1,0,0,0,2
We would like to get your comments on the newly purchased vehicle.,0,1,0,0,0,2
How likely are you to recommend our services to other?,0,1,0,0,0,2
Were you satisfied with the services provided to you?,0,1,0,0,0,2
Were your issues resolved?,0,1,0,0,0,2
How long did it take the help to reach you?,0,1,0,0,0,2
I have to report suspicious charges put in my bill during the servicing of my car.,0,1,0,0,0,2
We would like to know about your experience at the service center.,0,1,0,0,0,2
Did the showroom employee show you around a the vehicles you wanted to see and explain the features well?,0,1,0,0,0,2
